Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
9,Spider-Man: No Way Home,-,-,-,"$231,808,708","4,336","$804,793,477",Dec 17,Sony Pictures Releasing,false
1,Top Gun: Maverick,-,-,-,"$718,318,561","4,751","$718,732,821",May 27,Paramount Pictures,false
4,Avatar: The Way of Water,-,-,-,"$401,007,908","4,340","$684,075,767",Dec 16,20th Century Studios,false
2,Black Panther: Wakanda Forever,-,-,-,"$436,499,646","4,396","$453,829,060",Nov 11,Walt Disney Studios Motion Pictures,false
3,Doctor Strange in the Multiverse of Madness,-,-,-,"$411,331,607","4,534","$411,331,607",May 6,Walt Disney Studios Motion Pictures,false
5,Jurassic World Dominion,-,-,-,"$376,851,080","4,697","$376,851,080",Jun 10,Universal Pictures,false
6,Minions: The Rise of Gru,-,-,-,"$369,695,210","4,427","$370,270,765",Jul 1,Universal Pictures,false
7,The Batman,-,-,-,"$369,345,583","4,417","$369,345,583",Mar 4,Warner Bros.,false
8,Thor: Love and Thunder,-,-,-,"$343,256,830","4,375","$343,256,830",Jul 8,Walt Disney Studios Motion Pictures,false
165,Venom: Let There Be Carnage,-,-,-,"$941,330","4,225","$213,550,366",Oct 1,Sony Pictures Releasing,false
10,Sonic the Hedgehog 2,-,-,-,"$190,872,904","4,258","$190,872,904",Apr 8,Paramount Pictures,false
33,Puss in Boots: The Last Wish,-,-,-,"$55,665,155","4,121","$186,090,535",Dec 21,Universal Pictures,false
11,Black Adam,-,-,-,"$168,054,237","4,402","$168,152,111",Oct 21,Warner Bros.,false
222,Eternals,-,-,-,"$253,913","4,090","$164,870,234",Nov 5,Walt Disney Studios Motion Pictures,false
24,Sing 2,-,-,-,"$86,307,835","3,892","$162,790,990",Dec 22,Universal Pictures,false
264,No Time to Die,-,-,-,"$119,000","4,407","$160,891,007",Oct 8,Metro-Goldwyn-Mayer (MGM),false
12,Elvis,-,-,-,"$151,040,048","3,932","$151,040,048",Jun 24,Warner Bros.,false
13,Uncharted,-,-,-,"$148,649,929","4,275","$148,648,820",Feb 18,Sony Pictures Releasing,false
91,Ghostbusters: Afterlife,-,-,-,"$6,981,615","4,315","$129,360,575",Nov 19,Sony Pictures Releasing,false
14,Nope,-,-,-,"$123,277,080","3,807","$123,277,080",Jul 22,Universal Pictures,false
15,Lightyear,-,-,-,"$118,307,188","4,255","$118,307,188",Jun 17,Walt Disney Studios Motion Pictures,false
155,Dune,-,-,-,"$1,151,687","4,125","$108,327,830",Oct 22,Warner Bros.,false
16,Smile,-,-,-,"$105,935,048","3,659","$105,935,048",Sep 30,Paramount Pictures,false
17,The Lost City,-,-,-,"$105,344,029","4,283","$105,344,029",Mar 25,Paramount Pictures,false
18,Bullet Train,-,-,-,"$103,368,602","4,357","$103,368,602",Aug 5,Sony Pictures Releasing,false
19,The Bad Guys,-,-,-,"$97,233,630","4,042","$97,459,240",Apr 22,Universal Pictures,false
97,Encanto,-,-,-,"$5,465,293","3,980","$96,093,622",Nov 24,Walt Disney Studios Motion Pictures,false
20,Fantastic Beasts: The Secrets of Dumbledore,-,-,-,"$95,850,844","4,245","$95,850,844",Apr 15,Warner Bros.,false
21,DC League of Super-Pets,-,-,-,"$93,657,117","4,332","$93,657,117",Jul 29,Warner Bros.,false
22,Where the Crawdads Sing,-,-,-,"$90,230,760","3,650","$90,230,760",Jul 15,Sony Pictures Releasing,false
23,The Black Phone,-,-,-,"$90,123,230","3,156","$90,123,230",Jun 24,Universal Pictures,false
25,Scream,-,-,-,"$81,641,405","3,666","$81,641,405",Jan 14,Paramount Pictures,false
27,Everything Everywhere All at Once,-,-,-,"$68,649,964","2,220","$77,191,785",Mar 25,A24,false
26,Morbius,-,-,-,"$73,865,530","4,268","$73,865,530",Apr 1,Columbia Pictures,false
28,Ticket to Paradise,-,-,-,"$68,205,760","4,066","$68,275,985",Oct 21,Universal Pictures,false
29,The Woman King,-,-,-,"$67,178,268","3,765","$67,328,130",Sep 16,TriStar Pictures,false
337,A Man Called Otto,-,-,-,"$39,299","3,957","$64,267,657",Dec 30,Columbia Pictures,false
30,Halloween Ends,-,-,-,"$64,079,860","3,901","$64,079,860",Oct 14,Universal Pictures,false
31,Dog,-,-,-,"$61,778,069","3,827","$61,778,069",Feb 18,United Artists Releasing,false
32,Jackass Forever,-,-,-,"$57,743,451","3,653","$57,743,451",Feb 4,Paramount Pictures,false
99,House of Gucci,-,-,-,"$5,392,076","3,477","$53,809,574",Nov 24,United Artists Releasing,false
34,Violent Night,-,-,-,"$46,778,450","3,723","$50,057,405",Dec 2,Universal Pictures,false
35,"Lyle, Lyle, Crocodile",-,-,-,"$46,703,141","4,350","$46,888,441",Oct 7,Sony Pictures Releasing,false
36,Death on the Nile,-,-,-,"$45,630,104","3,420","$45,630,104",Feb 11,20th Century Studios,false
37,Don't Worry Darling,-,-,-,"$45,309,403","4,121","$45,309,403",Sep 23,Warner Bros.,false
38,Downton Abbey: A New Era,-,-,-,"$44,141,550","3,830","$44,141,550",May 20,Focus Features,false
39,Barbarian,-,-,-,"$40,842,944","2,890","$40,842,944",Sep 9,20th Century Studios,false
74,West Side Story,-,-,-,"$10,361,074","2,820","$38,530,322",Dec 10,20th Century Studios,false
42,The Menu,-,-,-,"$35,721,551","3,228","$38,501,125",Nov 18,Searchlight Pictures,false
40,Dragon Ball Super: Super Hero,-,-,-,"$38,112,140","3,018","$38,112,140",Aug 19,Crunchyroll,false
41,Strange World,-,-,-,"$36,848,924","4,174","$37,968,963",Nov 23,Walt Disney Studios Motion Pictures,false
78,The Matrix Resurrections,-,-,-,"$9,552,171","3,552","$37,686,805",Dec 22,Warner Bros.,false
51,The King's Man,-,-,-,"$20,917,649","3,180","$37,176,373",Dec 22,20th Century Studios,false
43,Jujutsu Kaisen 0,-,-,-,"$34,542,754","2,418","$34,542,754",Mar 18,Crunchyroll,false
44,The Northman,-,-,-,"$34,233,110","3,284","$34,233,110",Apr 22,Focus Features,false
45,The Bob's Burgers Movie,-,-,-,"$31,933,830","3,425","$31,933,830",May 27,20th Century Studios,false
46,Beast,-,-,-,"$31,846,530","3,754","$31,846,530",Aug 19,Universal Pictures,false
61,American Underdog,-,-,-,"$14,301,214","2,813","$26,514,814",Dec 25,Lionsgate Films,false
47,The Invitation,-,-,-,"$25,100,080","3,117","$25,100,080",Aug 26,Sony Pictures Releasing,false
48,Avatar2022  Re-release,-,-,-,"$24,714,024","2,040","$24,714,024",Sep 23,Walt Disney Pictures,false
63,Whitney Houston: I Wanna Dance with Somebody,-,-,-,"$13,256,913","3,625","$23,708,080",Dec 23,TriStar Pictures,false
49,Ambulance,-,-,-,"$22,781,115","3,412","$22,781,115",Apr 8,Universal Pictures,false
50,Marry Me,-,-,-,"$22,438,180","3,643","$22,438,180",Feb 11,Universal Pictures,false
52,Father Stu,-,-,-,"$20,884,796","2,705","$20,884,796",Apr 13,Sony Pictures Releasing,false
54,Devotion,-,-,-,"$19,837,942","3,458","$20,511,938",Nov 23,Columbia Pictures,false
53,The Unbearable Weight of Massive Talent,-,-,-,"$20,300,157","3,036","$20,300,157",Apr 22,Lionsgate Films,false
55,Prey for the Devil,-,-,-,"$19,802,293","2,980","$19,802,293",Oct 28,Lionsgate Films,false
56,Moonfall,-,-,-,"$19,060,660","3,446","$19,060,660",Feb 4,Lionsgate Films,false
57,Paws of Fury: The Legend of Hank,-,-,-,"$17,811,382","3,481","$17,811,382",Jul 15,Paramount Pictures,false
100,The Whale,-,-,-,"$5,334,196","1,721","$17,463,630",Dec 9,A24,false
67,The Fabelmans,-,-,-,"$11,807,395","1,962","$17,348,945",Nov 11,Universal Pictures,false
66,Licorice Pizza,-,-,-,"$11,873,858","1,977","$17,318,007",Nov 26,United Artists Releasing,false
290,Resident Evil: Welcome to Raccoon City,-,-,-,"$76,721","2,803","$17,000,612",Nov 24,Screen Gems,false
250,The French Dispatch,-,-,-,"$147,605","1,225","$16,124,375",Oct 22,Searchlight Pictures,false
82,Babylon,-,-,-,"$9,082,897","3,351","$15,351,455",Dec 23,Paramount Pictures,false
196,King Richard,-,-,-,"$408,056","3,302","$15,129,285",Nov 19,Warner Bros.,false
58,Amsterdam,-,-,-,"$14,947,969","3,005","$14,947,969",Oct 7,Walt Disney Studios Motion Pictures,false
59,The Chosen Season 3: Episode 1 & 2,-,-,-,"$14,612,089","2,021","$14,612,089",Nov 18,Fathom Events,false
60,The 355,-,-,-,"$14,570,455","3,145","$14,570,455",Jan 7,Universal Pictures,false
71,RRR,-,-,-,"$11,113,000","1,200","$14,500,000",Mar 25,Sarigama Cinemas,false
62,Glass Onion,-,-,-,"$13,280,000",696,"$13,280,000",Nov 23,Netflix,false
64,Easter Sunday,-,-,-,"$13,013,690","3,176","$13,013,690",Aug 5,Universal Pictures,false
65,One Piece Film: Red,-,-,-,"$12,775,324","2,367","$12,775,324",Nov 4,Crunchyroll,false
68,X,-,-,-,"$11,765,309","2,920","$11,765,309",Mar 18,A24,false
69,Bros,-,-,-,"$11,628,165","3,356","$11,628,165",Sep 30,Universal Pictures,false
70,Bodies Bodies Bodies,-,-,-,"$11,446,602","2,541","$11,446,602",Aug 5,A24,false
104,Nightmare Alley,-,-,-,"$4,459,805","2,145","$11,338,107",Dec 17,Searchlight Pictures,false
72,Terrifier 2,-,-,-,"$10,640,105","1,550","$10,640,105",Oct 6,Cinedigm Entertainment Group,false
83,The Banshees of Inisherin,-,-,-,"$9,026,965","1,205","$10,582,266",Oct 21,Searchlight Pictures,false
73,Mrs. Harris Goes to Paris,-,-,-,"$10,433,915","1,001","$10,433,915",Jul 15,Focus Features,false
75,Firestarter,-,-,-,"$9,739,250","3,413","$9,739,250",May 13,Universal Pictures,false
76,Blacklight,-,-,-,"$9,591,094","2,772","$9,591,094",Feb 11,Briarcliff Entertainment,false
